wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id,batch_size
10,10,0.3905916213989258,32,32,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
5,1,46.9647433757782,213,183,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,7,6.483823537826538,95,91,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,8,0.3593485355377197,35,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,7,5.327674388885498,84,79,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,9,4.093400478363037,82,82,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,9,0.5624520778656006,30,29,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
6,5,43.261937618255615,221,197,Expert (16x30),18x32,True,"(3, 3)",True,3,10
7,6,5.546401500701904,89,87,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,10,0.3593451976776123,29,29,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
3,2,40.15282726287842,230,198,Expert (16x30),18x32,True,"(3, 3)",True,3,10
6,2,4.280884265899658,81,75,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,8,0.4218392372131347,33,32,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
5,0,34.231460094451904,178,149,Expert (16x30),18x32,True,"(3, 3)",True,3,10
1,0,45.87108850479126,212,185,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.4999566078186035,34,34,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
4,2,29.731838941574097,186,173,Expert (16x30),18x32,True,"(3, 3)",True,3,10
3,0,41.12149524688721,250,211,Expert (16x30),18x32,True,"(3, 3)",True,3,10
3,1,33.169044494628906,202,188,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,9,0.4062151908874511,28,27,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,6,4.249636650085449,84,80,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,9,0.671818733215332,42,41,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,8,5.983861684799194,87,83,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
5,1,25.77905535697937,173,158,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.4062151908874511,33,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,9,5.265177488327026,93,92,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
8,7,4.327753305435181,79,73,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,10,0.390594482421875,32,32,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
4,2,26.12277173995972,186,176,Expert (16x30),18x32,True,"(3, 3)",True,3,10
