wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,samples_solve_duration_total,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,naive_alg_steps,parameters_id,task_id
5,4,0.061858415603637695,24,22,0.0378267765045166,Beginner (8x8),10x10,True,,True,7,57,1065
1,0,0.020936965942382812,15,6,0.004088878631591797,Beginner (8x8),10x10,True,,False,7,58,1066
5,5,0.025110483169555664,16,16,0.003309965133666992,Beginner (9x9),11x11,True,,True,7,59,1067
5,1,0.03689408302307129,24,16,0.004926443099975586,Beginner (9x9),11x11,True,,False,7,60,1068
1,1,1.0307292938232422,74,67,0.2413167953491211,Expert (16x30),18x32,True,,True,4,39,1047
1,1,0.8013908863067627,57,49,0.22646808624267578,Expert (16x30),18x32,True,,False,5,48,1056
3,2,0.1664130687713623,32,26,0.026632308959960938,Intermediate (16x16),18x18,True,,False,7,62,1070
5,5,0.2395789623260498,43,43,0.04945087432861328,Intermediate (16x16),18x18,True,,True,7,61,1069
5,4,0.0618128776550293,24,22,0.037795066833496094,Beginner (8x8),10x10,True,,True,,65,1073
1,1,1.0402631759643555,74,67,0.2420520782470703,Expert (16x30),18x32,True,,True,5,47,1055
1,0,0.020892620086669922,15,6,0.004082679748535156,Beginner (8x8),10x10,True,,False,,66,1074
5,5,0.026151418685913086,16,16,0.00362396240234375,Beginner (9x9),11x11,True,,True,,67,1075
5,1,0.038393259048461914,24,16,0.004960775375366211,Beginner (9x9),11x11,True,,False,,68,1076
3,2,0.18065142631530762,32,26,0.029030561447143555,Intermediate (16x16),18x18,True,,False,,70,1078
5,5,0.25676989555358887,43,43,0.05583620071411133,Intermediate (16x16),18x18,True,,True,,69,1077
1,1,0.8540182113647461,57,49,0.2178795337677002,Expert (16x30),18x32,True,,False,6,56,1064
4,2,0.04324674606323242,41,26,0.008112668991088867,Beginner (8x8),10x10,True,,True,0,1,1081
4,1,0.05927085876464844,49,23,0.00955343246459961,Beginner (8x8),10x10,True,,False,0,2,1082
4,4,0.027676105499267578,25,24,0.0032393932342529297,Beginner (9x9),11x11,True,,True,0,3,1083
4,4,0.02764415740966797,25,24,0.0032219886779785156,Beginner (9x9),11x11,True,,False,0,4,1084
2,0,0.21152853965759277,52,41,0.019298076629638672,Intermediate (16x16),18x18,True,,True,0,5,1085
1,1,1.4287691116333008,74,67,0.33498072624206543,Expert (16x30),18x32,True,,True,6,55,1063
1,1,0.9658222198486328,57,49,0.22948551177978516,Expert (16x30),18x32,True,,False,7,64,1072
1,0,0.21438050270080566,52,37,0.01881122589111328,Intermediate (16x16),18x18,True,,False,0,6,1086
1,1,1.0879204273223877,74,67,0.25524401664733887,Expert (16x30),18x32,True,,True,7,63,1071
5,3,0.07407855987548828,39,32,0.023630857467651367,Beginner (8x8),10x10,True,,True,1,9,1089
4,4,0.03180670738220215,21,20,0.004348278045654297,Beginner (9x9),11x11,True,,True,1,11,1091
5,2,0.12256479263305664,42,34,0.03464818000793457,Beginner (8x8),10x10,True,,False,1,10,1090
4,4,0.03151750564575195,21,20,0.004399776458740234,Beginner (9x9),11x11,True,,False,1,12,1092
1,1,0.8532364368438721,57,49,0.223923921585083,Expert (16x30),18x32,True,,False,,72,1080
4,4,0.2128314971923828,46,45,0.021172046661376953,Intermediate (16x16),18x18,True,,True,1,13,1093
1,1,1.1541764736175537,74,67,0.2749617099761963,Expert (16x30),18x32,True,,True,,71,1079
4,1,0.2765500545501709,51,46,0.025084257125854492,Intermediate (16x16),18x18,True,,False,1,14,1094
5,3,0.05523252487182617,38,31,0.024370193481445312,Beginner (8x8),10x10,True,,True,2,17,1097
4,4,0.02651381492614746,21,20,0.003632783889770508,Beginner (9x9),11x11,True,,True,2,19,1099
5,2,0.07558202743530273,41,33,0.03436589241027832,Beginner (8x8),10x10,True,,False,2,18,1098
4,4,0.026902198791503906,21,20,0.0037097930908203125,Beginner (9x9),11x11,True,,False,2,20,1100
4,4,0.22120952606201172,46,45,0.02326178550720215,Intermediate (16x16),18x18,True,,True,2,21,1101
0,0,0.8741159439086914,69,39,0.07138657569885254,Expert (16x30),18x32,True,,False,0,8,1088
4,1,0.29412341117858887,51,46,0.02982616424560547,Intermediate (16x16),18x18,True,,False,2,22,1102
5,3,0.05280303955078125,38,31,0.026112079620361328,Beginner (8x8),10x10,True,,True,3,25,1105
5,2,0.05741763114929199,41,33,0.025931596755981445,Beginner (8x8),10x10,True,,False,3,26,1106
4,4,0.03160905838012695,21,20,0.004404544830322266,Beginner (9x9),11x11,True,,True,3,27,1107
4,4,0.02074408531188965,21,20,0.0027923583984375,Beginner (9x9),11x11,True,,False,3,28,1108
0,0,1.2855663299560547,100,63,0.11636114120483398,Expert (16x30),18x32,True,,True,0,7,1087
4,4,0.1270890235900879,46,45,0.014535903930664062,Intermediate (16x16),18x18,True,,True,3,29,1109
4,1,0.1836996078491211,51,46,0.020001649856567383,Intermediate (16x16),18x18,True,,False,3,30,1110
1,0,1.1580018997192383,102,77,0.13272404670715332,Expert (16x30),18x32,True,,False,1,16,1096
5,3,0.05893564224243164,38,31,0.028394460678100586,Beginner (8x8),10x10,True,,True,4,33,1113
1,0,1.4509696960449219,112,97,0.24613595008850098,Expert (16x30),18x32,True,,True,1,15,1095
5,2,0.06128191947937012,41,33,0.029534101486206055,Beginner (8x8),10x10,True,,False,4,34,1114
4,4,0.027222871780395508,21,20,0.0036928653717041016,Beginner (9x9),11x11,True,,True,4,35,1115
4,4,0.026589632034301758,21,20,0.003683328628540039,Beginner (9x9),11x11,True,,False,4,36,1116
4,4,0.20717644691467285,46,45,0.025716781616210938,Intermediate (16x16),18x18,True,,True,4,37,1117
4,1,0.2194211483001709,51,46,0.025433778762817383,Intermediate (16x16),18x18,True,,False,4,38,1118
1,0,1.3511278629302979,107,81,0.33777666091918945,Expert (16x30),18x32,True,,False,2,24,1104
5,3,0.060822248458862305,38,31,0.029377460479736328,Beginner (8x8),10x10,True,,True,5,41,1121
5,2,0.06360149383544922,41,33,0.0301816463470459,Beginner (8x8),10x10,True,,False,5,42,1122
4,4,0.027563810348510742,21,20,0.003674030303955078,Beginner (9x9),11x11,True,,True,5,43,1123
4,4,0.027785301208496094,21,20,0.0036919116973876953,Beginner (9x9),11x11,True,,False,5,44,1124
1,0,1.547816514968872,117,101,0.5140459537506104,Expert (16x30),18x32,True,,True,2,23,1103
4,4,0.16176223754882812,46,45,0.017511367797851562,Intermediate (16x16),18x18,True,,True,5,45,1125
4,1,0.2182445526123047,51,46,0.025554180145263672,Intermediate (16x16),18x18,True,,False,5,46,1126
1,0,1.2358262538909912,107,81,0.45279836654663086,Expert (16x30),18x32,True,,False,3,32,1112
5,3,0.031116724014282227,38,31,0.014687776565551758,Beginner (8x8),10x10,True,,True,6,49,1129
5,2,0.03301191329956055,41,33,0.015619993209838867,Beginner (8x8),10x10,True,,False,6,50,1130
4,4,0.015542030334472656,21,20,0.0020368099212646484,Beginner (9x9),11x11,True,,True,6,51,1131
4,4,0.026200056076049805,21,20,0.0036995410919189453,Beginner (9x9),11x11,True,,False,6,52,1132
4,4,0.19951915740966797,46,45,0.022626399993896484,Intermediate (16x16),18x18,True,,True,6,53,1133
1,0,1.7175211906433105,117,101,0.80000901222229,Expert (16x30),18x32,True,,True,3,31,1111
4,1,0.2260446548461914,51,46,0.026406288146972656,Intermediate (16x16),18x18,True,,False,6,54,1134
1,0,1.7495088577270508,107,81,0.7218046188354492,Expert (16x30),18x32,True,,False,4,40,1120
5,3,0.06420040130615234,38,31,0.03032684326171875,Beginner (8x8),10x10,True,,True,7,57,1137
5,2,0.06347918510437012,41,33,0.030057191848754883,Beginner (8x8),10x10,True,,False,7,58,1138
4,4,0.03811931610107422,21,20,0.0049059391021728516,Beginner (9x9),11x11,True,,True,7,59,1139
4,4,0.028318166732788086,21,20,0.003702878952026367,Beginner (9x9),11x11,True,,False,7,60,1140
4,4,0.21810674667358398,46,45,0.026583433151245117,Intermediate (16x16),18x18,True,,True,7,61,1141
1,0,2.2514703273773193,117,101,1.1373417377471924,Expert (16x30),18x32,True,,True,4,39,1119
4,1,0.22299838066101074,51,46,0.025620222091674805,Intermediate (16x16),18x18,True,,False,7,62,1142
1,0,1.7987279891967773,107,81,0.7546005249023438,Expert (16x30),18x32,True,,False,5,48,1128
5,3,0.05655241012573242,38,31,0.02778482437133789,Beginner (8x8),10x10,True,,True,,65,1145
5,2,0.05977821350097656,41,33,0.02798295021057129,Beginner (8x8),10x10,True,,False,,66,1146
4,4,0.027608394622802734,21,20,0.004007577896118164,Beginner (9x9),11x11,True,,True,,67,1147
1,0,2.032766342163086,117,101,0.9814674854278564,Expert (16x30),18x32,True,,True,5,47,1127
4,4,0.026880264282226562,21,20,0.0036382675170898438,Beginner (9x9),11x11,True,,False,,68,1148
4,4,0.24418163299560547,46,45,0.02960038185119629,Intermediate (16x16),18x18,True,,True,,69,1149
4,1,0.2324080467224121,51,46,0.027162790298461914,Intermediate (16x16),18x18,True,,False,,70,1150
1,0,1.8791990280151367,107,81,0.6930313110351562,Expert (16x30),18x32,True,,False,6,56,1136
4,2,0.030002117156982422,29,24,0.004565715789794922,Beginner (8x8),10x10,True,,True,0,1,1153
1,0,2.1617977619171143,117,101,1.0715444087982178,Expert (16x30),18x32,True,,True,6,55,1135
2,1,0.033333539962768555,28,14,0.00330352783203125,Beginner (8x8),10x10,True,,False,0,2,1154
5,5,0.01970529556274414,27,27,0.0028276443481445312,Beginner (9x9),11x11,True,,True,0,3,1155
3,1,0.04608583450317383,31,16,0.003139495849609375,Beginner (9x9),11x11,True,,False,0,4,1156
3,1,0.1502087116241455,59,44,0.011421918869018555,Intermediate (16x16),18x18,True,,True,0,5,1157
1,0,0.14691948890686035,37,21,0.011031150817871094,Intermediate (16x16),18x18,True,,False,0,6,1158
0,0,0.3964827060699463,37,22,0.015671253204345703,Expert (16x30),18x32,True,,False,0,8,1160
0,0,0.46430325508117676,69,54,0.044025421142578125,Expert (16x30),18x32,True,,True,0,7,1159
5,3,0.032004356384277344,25,22,0.008611440658569336,Beginner (8x8),10x10,True,,True,1,9,1161
3,1,0.018315553665161133,24,11,0.0025281906127929688,Beginner (8x8),10x10,True,,False,1,10,1162
3,1,0.032332658767700195,30,16,0.004746913909912109,Beginner (9x9),11x11,True,,False,1,12,1164
5,5,0.037366628646850586,24,24,0.007869243621826172,Beginner (9x9),11x11,True,,True,1,11,1163
1,0,0.15190958976745605,32,20,0.021700382232666016,Intermediate (16x16),18x18,True,,False,1,14,1166
4,2,0.17144489288330078,52,42,0.024848461151123047,Intermediate (16x16),18x18,True,,True,1,13,1165
1,0,1.625459909439087,107,81,0.6484336853027344,Expert (16x30),18x32,True,,False,7,64,1144
5,3,0.039051055908203125,25,22,0.01497650146484375,Beginner (8x8),10x10,True,,True,2,17,1169
3,1,0.03442740440368652,24,11,0.007219552993774414,Beginner (8x8),10x10,True,,False,2,18,1170
5,5,0.04351210594177246,23,23,0.014181375503540039,Beginner (9x9),11x11,True,,True,2,19,1171
3,1,0.0632328987121582,30,16,0.021887779235839844,Beginner (9x9),11x11,True,,False,2,20,1172
1,0,2.0893633365631104,117,101,1.007497787475586,Expert (16x30),18x32,True,,True,7,63,1143
1,0,0.19155454635620117,32,19,0.06374645233154297,Intermediate (16x16),18x18,True,,False,2,22,1174
1,0,0.5083448886871338,70,55,0.038077592849731445,Expert (16x30),18x32,True,,False,1,16,1168
4,2,0.30937790870666504,52,41,0.08641743659973145,Intermediate (16x16),18x18,True,,True,2,21,1173
1,0,1.6967651844024658,107,81,0.6593949794769287,Expert (16x30),18x32,True,,False,,72,1152
3,1,0.04029417037963867,24,11,0.012727022171020508,Beginner (8x8),10x10,True,,False,3,26,1178
5,3,0.04381823539733887,25,22,0.01979517936706543,Beginner (8x8),10x10,True,,True,3,25,1177
5,5,0.09856653213500977,23,23,0.031113624572753906,Beginner (9x9),11x11,True,,True,3,27,1179
1,0,1.938584327697754,117,101,0.9237799644470215,Expert (16x30),18x32,True,,True,,71,1151
3,1,0.1824343204498291,30,16,0.09152054786682129,Beginner (9x9),11x11,True,,False,3,28,1180
1,0,0.25803112983703613,32,19,0.09383416175842285,Intermediate (16x16),18x18,True,,False,3,30,1182
4,2,0.35392069816589355,52,41,0.11194372177124023,Intermediate (16x16),18x18,True,,True,3,29,1181
5,3,0.044286489486694336,25,22,0.020247459411621094,Beginner (8x8),10x10,True,,True,4,33,1185
2,1,1.1667404174804688,88,77,0.19547247886657715,Expert (16x30),18x32,True,,True,1,15,1167
3,1,0.04089832305908203,24,11,0.013182640075683594,Beginner (8x8),10x10,True,,False,4,34,1186
5,5,0.10367751121520996,23,23,0.032305240631103516,Beginner (9x9),11x11,True,,True,4,35,1187
